user_id,customer_id,email,signed_up_at,last_seen_at,is_active,role
1,159,user1@example.com,2026-01-07,2025-07-24,False,member
2,422,user2@example.com,2025-12-29,2026-08-29,False,member
3,18,user3@example.com,2025-05-15,2025-01-06,False,viewer
4,224,user4@example.com,2026-04-26,2025-10-26,True,member
5,401,user5@example.com,2026-02-24,2026-01-05,False,member
6,477,user6@example.com,2026-04-03,2025-02-07,True,member
7,126,user7@example.com,2025-10-11,2025-10-01,True,member
8,326,user8@example.com,2026-06-26,2025-12-28,True,member
9,95,user9@example.com,2025-08-25,2026-01-04,True,member
10,58,user10@example.com,2026-05-05,2025-03-14,True,member
11,177,user11@example.com,2025-05-04,2025-06-18,True,member
12,443,user12@example.com,2025-05-31,2025-05-29,False,member
13,345,user13@example.com,2025-11-16,2026-01-24,False,viewer
14,245,user14@example.com,2025-12-04,2025-07-19,True,admin
15,142,user15@example.com,2026-03-29,2025-12-13,True,member
16,71,user16@example.com,2025-06-30,2026-03-20,False,member
17,136,user17@example.com,2026-06-14,2026-04-29,True,member
18,77,user18@example.com,2025-07-20,2025-04-22,True,member
19,94,user19@example.com,2025-11-21,2026-07-03,True,admin
20,344,user20@example.com,2026-07-20,2025-04-11,True,member
21,67,user21@example.com,2025-11-24,2025-01-14,True,member
22,24,user22@example.com,2026-02-18,2025-01-28,False,member
23,272,user23@example.com,2026-07-06,2025-05-03,False,member
24,144,user24@example.com,2026-08-15,2026-06-15,False,viewer
25,228,user25@example.com,2025-10-31,2025-05-07,True,viewer
26,70,user26@example.com,2025-09-11,2026-02-25,False,viewer
27,105,user27@example.com,2025-04-30,2025-09-12,False,member
28,221,user28@example.com,2025-11-23,2025-01-25,True,member
29,346,user29@example.com,2026-07-12,2025-09-27,True,member
30,208,user30@example.com,2025-10-23,2025-01-18,True,viewer
31,271,user31@example.com,2025-07-31,2025-10-17,True,member
32,261,user32@example.com,2025-03-07,2025-12-06,True,member
33,135,user33@example.com,2025-08-25,2025-11-13,True,member
34,140,user34@example.com,2025-05-24,2025-06-21,True,member
35,213,user35@example.com,2026-08-16,2026-04-11,True,admin
36,17,user36@example.com,2025-11-17,2025-12-29,True,member
37,343,user37@example.com,2025-03-25,2025-06-04,False,member
38,308,user38@example.com,2025-02-10,2025-09-21,True,viewer
39,154,user39@example.com,2026-06-01,2025-03-07,True,member
40,187,user40@example.com,2026-07-20,2026-07-15,True,viewer
41,165,user41@example.com,2026-04-09,2026-04-03,False,member
42,326,user42@example.com,2025-03-17,2025-06-24,True,viewer
43,380,user43@example.com,2025-03-01,2026-02-14,False,admin
44,55,user44@example.com,2025-05-01,2026-02-17,True,viewer
45,207,user45@example.com,2026-04-01,2026-01-06,True,member
46,7,user46@example.com,2026-04-10,2025-02-02,True,member
47,227,user47@example.com,2026-05-24,2026-06-18,True,member
48,125,user48@example.com,2025-02-28,2026-08-04,False,member
49,168,user49@example.com,2025-04-04,2026-08-15,False,member
50,229,user50@example.com,2026-07-01,2026-08-19,True,member
51,162,user51@example.com,2026-07-18,2026-07-18,False,viewer
52,198,user52@example.com,2026-03-17,2026-03-25,True,member
53,383,user53@example.com,2025-03-06,2025-02-04,True,member
54,406,user54@example.com,2025-02-11,2025-10-10,True,member
55,3,user55@example.com,2025-02-03,2025-05-29,True,viewer
56,189,user56@example.com,2026-02-24,2025-05-14,False,viewer
57,424,user57@example.com,2026-05-29,2026-05-20,True,member
58,266,user58@example.com,2026-01-19,2026-05-09,True,viewer
59,103,user59@example.com,2025-06-09,2025-11-13,True,member
60,297,user60@example.com,2026-04-05,2026-03-23,True,viewer
61,73,user61@example.com,2025-02-05,2025-03-20,True,viewer
62,11,user62@example.com,2026-05-18,2025-05-15,False,member
63,317,user63@example.com,2026-06-26,2026-06-07,True,member
64,258,user64@example.com,2026-03-13,2025-10-01,True,member
65,379,user65@example.com,2026-06-18,2025-11-28,True,admin
66,173,user66@example.com,2025-12-22,2025-10-08,True,viewer
67,428,user67@example.com,2025-10-12,2025-05-03,True,member
68,211,user68@example.com,2025-07-15,2026-05-17,False,member
69,370,user69@example.com,2026-07-14,2026-04-06,False,viewer
70,51,user70@example.com,2026-02-28,2026-02-20,True,member
71,49,user71@example.com,2025-04-26,2025-08-03,False,member
72,392,user72@example.com,2026-08-04,2026-01-26,True,member
73,417,user73@example.com,2025-02-05,2026-08-02,True,member
74,472,user74@example.com,2025-12-23,2026-01-30,False,member
75,163,user75@example.com,2025-04-26,2025-10-28,False,admin
76,12,user76@example.com,2026-02-08,2025-06-14,False,member
77,490,user77@example.com,2025-09-08,2025-11-14,True,member
78,301,user78@example.com,2025-09-23,2025-08-14,True,member
79,124,user79@example.com,2026-02-12,2026-01-07,True,member
80,382,user80@example.com,2026-04-04,2025-01-28,True,member
81,452,user81@example.com,2025-08-19,2025-04-26,False,member
82,143,user82@example.com,2026-08-29,2026-04-23,True,member
83,385,user83@example.com,2025-10-30,2025-08-20,True,member
84,394,user84@example.com,2025-04-08,2025-09-20,True,member
85,251,user85@example.com,2025-01-04,2025-11-27,True,member
86,317,user86@example.com,2025-05-03,2025-09-24,True,viewer
87,135,user87@example.com,2026-02-24,2026-04-06,True,member
88,465,user88@example.com,2025-11-24,2025-05-29,True,member
89,492,user89@example.com,2025-07-25,2026-04-06,True,admin
90,491,user90@example.com,2025-10-20,2025-05-08,True,member
91,369,user91@example.com,2026-05-24,2025-08-13,True,admin
92,22,user92@example.com,2025-12-13,2025-12-23,False,viewer
93,184,user93@example.com,2025-02-05,2026-06-22,True,viewer
94,223,user94@example.com,2025-01-30,2025-05-22,True,member
95,480,user95@example.com,2025-10-20,2025-12-23,True,member
96,274,user96@example.com,2025-09-03,2025-02-08,False,member
97,269,user97@example.com,2026-06-01,2025-02-15,False,member
98,74,user98@example.com,2025-12-20,2026-04-11,True,member
99,397,user99@example.com,2026-04-05,2026-03-13,True,member
100,169,user100@example.com,2025-12-22,2025-08-17,True,viewer
101,46,user101@example.com,2025-07-29,2026-01-14,False,member
102,494,user102@example.com,2026-02-04,2025-08-19,True,member
103,96,user103@example.com,2026-01-13,2025-06-18,True,member
104,9,user104@example.com,2026-03-14,2025-09-19,False,member
105,39,user105@example.com,2025-04-25,2025-07-09,False,viewer
106,227,user106@example.com,2026-01-25,2026-05-10,True,admin
107,52,user107@example.com,2025-06-23,2025-09-07,True,member
108,422,user108@example.com,2026-04-25,2025-07-14,True,member
109,257,user109@example.com,2026-04-30,2025-11-22,True,viewer
110,162,user110@example.com,2026-01-15,2026-04-06,True,member
111,2,user111@example.com,2026-07-29,2025-06-16,False,member
112,240,user112@example.com,2025-11-23,2026-07-25,False,viewer
113,76,user113@example.com,2025-01-16,2025-10-09,True,viewer
114,490,user114@example.com,2026-01-03,2026-02-06,True,member
115,146,user115@example.com,2026-04-18,2026-08-05,True,viewer
116,238,user116@example.com,2025-03-03,2025-09-20,True,member
117,10,user117@example.com,2025-03-05,2025-05-02,False,member
118,66,user118@example.com,2025-06-15,2026-03-30,True,viewer
119,104,user119@example.com,2026-05-28,2025-01-05,True,member
120,26,user120@example.com,2025-11-17,2025-10-05,True,member
121,363,user121@example.com,2026-08-16,2026-08-18,True,viewer
122,473,user122@example.com,2026-06-14,2025-09-09,True,viewer
123,493,user123@example.com,2025-12-03,2026-02-20,False,viewer
124,133,user124@example.com,2026-02-17,2025-11-15,False,member
125,395,user125@example.com,2025-07-20,2025-05-11,True,viewer
126,253,user126@example.com,2025-02-24,2025-07-12,False,member
127,23,user127@example.com,2025-08-31,2025-11-14,True,member
128,46,user128@example.com,2025-12-26,2025-03-05,False,member
129,274,user129@example.com,2025-04-21,2025-09-09,True,viewer
130,212,user130@example.com,2025-05-15,2025-09-09,True,viewer
131,5,user131@example.com,2025-01-10,2026-05-22,False,member
132,466,user132@example.com,2026-03-22,2025-03-17,True,member
133,366,user133@example.com,2026-06-30,2026-05-27,True,member
134,252,user134@example.com,2026-05-18,2025-09-07,True,member
135,494,user135@example.com,2025-08-19,2026-01-31,True,member
136,486,user136@example.com,2025-12-27,2025-12-05,True,admin
137,487,user137@example.com,2026-08-07,2025-07-01,True,member
138,130,user138@example.com,2025-12-25,2026-07-19,False,viewer
139,441,user139@example.com,2025-06-29,2025-05-17,True,member
140,253,user140@example.com,2025-07-25,2025-01-22,True,viewer
141,364,user141@example.com,2026-03-18,2026-04-01,True,member
142,430,user142@example.com,2025-09-28,2026-01-13,False,member
143,82,user143@example.com,2026-05-24,2026-06-25,True,admin
144,225,user144@example.com,2026-06-09,2025-10-05,True,member
145,65,user145@example.com,2025-01-22,2025-01-11,True,member
146,140,user146@example.com,2026-03-16,2025-01-13,False,member
147,207,user147@example.com,2025-08-13,2025-09-20,False,admin
148,428,user148@example.com,2025-11-12,2025-06-01,True,member
