company_id,company_name,order_id,order_date,customer_name,email,city,state,product_name,category,unit_price,quantity,total_amount,status,sales_channel
ENT-001,Northwind Supply Co,NW-10000,2025-06-19,Daniel Martinez,daniel.martinez549@example.com,Boston,MA,Mechanical Keyboard,Electronics,89.99,1,89.99,completed,mobile_app
ENT-001,Northwind Supply Co,NW-10001,2025-09-14,Susan Williams,susan.williams247@example.com,Chicago,IL,Whiteboard,Office,49.99,1,49.99,completed,in_store
ENT-001,Northwind Supply Co,NW-10002,2025-01-08,Joshua Davis,joshua.davis591@demo.org,San Diego,CA,Travel Adapter,Electronics,16.99,4,67.96,completed,mobile_app
ENT-001,Northwind Supply Co,NW-10003,2025-09-27,Ingrid Rodriguez,ingrid.rodriguez121@fakemail.net,Austin,TX,Whiteboard,Office,49.99,1,49.99,completed,web
ENT-001,Northwind Supply Co,NW-10004,2025-10-02,Donna Torres,donna.torres730@example.com,San Antonio,TX,Webcam HD,Electronics,69.99,1,69.99,completed,mobile_app
ENT-001,Northwind Supply Co,NW-10005,2025-06-10,Amanda Wright,amanda.wright946@demo.org,Portland,OR,Monitor 27in,Electronics,229.00,1,229.00,completed,in_store
ENT-001,Northwind Supply Co,NW-10006,2025-06-24,Barbara Hall,barbara.hall538@demo.org,San Diego,CA,USB-C Hub,Electronics,39.99,2,79.98,cancelled,web
ENT-001,Northwind Supply Co,NW-10007,2025-03-16,Kenneth Jones,kenneth.jones776@fakemail.net,Houston,TX,Phone Case,Electronics,19.99,1,19.99,pending,web
ENT-001,Northwind Supply Co,NW-10008,2025-06-23,Brian Jones,brian.jones838@fakemail.net,Detroit,MI,Travel Adapter,Electronics,16.99,3,50.97,shipped,mobile_app
ENT-001,Northwind Supply Co,NW-10009,2025-08-23,Ashley Nguyen,ashley.nguyen968@fakemail.net,Miami,FL,USB-C Hub,Electronics,39.99,3,119.97,completed,web
ENT-001,Northwind Supply Co,NW-10010,2025-05-23,Edward Hall,edward.hall842@demo.org,Austin,TX,Travel Adapter,Electronics,16.99,5,84.95,pending,phone
ENT-001,Northwind Supply Co,NW-10011,2025-01-07,Matthew Johnson,matthew.johnson120@demo.org,Miami,FL,Webcam HD,Electronics,69.99,1,69.99,shipped,web
