company_id,company_name,order_id,order_date,customer_name,email,city,state,product_name,category,unit_price,quantity,total_amount,status,sales_channel
ENT-003,Harborline Goods Inc,HL-10000,2025-07-14,Carol King,carol.king543@example.com,Atlanta,GA,Desk Lamp,Office,27.95,1,27.95,completed,web
ENT-003,Harborline Goods Inc,HL-10001,2025-05-17,Mark Ferreira,mark.ferreira564@mailbox.test,Phoenix,AZ,Mechanical Keyboard,Electronics,89.99,5,449.95,pending,web
ENT-003,Harborline Goods Inc,HL-10002,2025-01-17,Ronald Robinson,ronald.robinson821@fakemail.net,Portland,OR,Whiteboard,Office,49.99,1,49.99,completed,phone
ENT-003,Harborline Goods Inc,HL-10003,2025-06-22,David Roberts,david.roberts356@example.com,Detroit,MI,Webcam HD,Electronics,69.99,1,69.99,shipped,web
ENT-003,Harborline Goods Inc,HL-10004,2025-05-22,Diego Martin,diego.martin547@example.com,Portland,OR,Water Bottle,Lifestyle,18.00,1,18.00,cancelled,mobile_app
ENT-003,Harborline Goods Inc,HL-10005,2025-12-20,Kevin Rivera,kevin.rivera598@fakemail.net,Seattle,WA,Bluetooth Speaker,Electronics,54.99,1,54.99,pending,mobile_app
ENT-003,Harborline Goods Inc,HL-10006,2025-11-25,Jennifer Jackson,jennifer.jackson189@mailbox.test,Houston,TX,Running Shoes,Lifestyle,119.00,1,119.00,shipped,web
ENT-003,Harborline Goods Inc,HL-10007,2025-12-22,Yuki Petrov,yuki.petrov475@mailbox.test,San Diego,CA,Backpack,Lifestyle,64.99,3,194.97,shipped,web
ENT-003,Harborline Goods Inc,HL-10008,2025-12-03,Mateo Jones,mateo.jones784@demo.org,Atlanta,GA,Whiteboard,Office,49.99,3,149.97,shipped,mobile_app
ENT-003,Harborline Goods Inc,HL-10009,2025-06-10,Diego White,diego.white793@example.com,Houston,TX,USB-C Hub,Electronics,39.99,1,39.99,shipped,mobile_app
ENT-003,Harborline Goods Inc,HL-10010,2025-06-28,Thomas Johnson,thomas.johnson906@mailbox.test,San Antonio,TX,Desk Lamp,Office,27.95,1,27.95,cancelled,web
ENT-003,Harborline Goods Inc,HL-10011,2025-10-09,Omar Ramirez,omar.ramirez384@fakemail.net,New York,NY,Desk Lamp,Office,27.95,1,27.95,shipped,mobile_app
ENT-003,Harborline Goods Inc,HL-10012,2025-04-04,David Ramirez,david.ramirez506@fakemail.net,Nashville,TN,Desk Lamp,Office,27.95,2,55.90,shipped,in_store
ENT-003,Harborline Goods Inc,HL-10013,2025-01-27,Margaret Torres,margaret.torres668@fakemail.net,Nashville,TN,Bluetooth Speaker,Electronics,54.99,3,164.97,completed,web
ENT-003,Harborline Goods Inc,HL-10014,2025-03-16,Omar Adams,omar.adams59@example.com,Phoenix,AZ,Desk Organizer,Office,22.50,3,67.50,refunded,in_store
